id,user_id,origin_coordinates,destination_coordinates,leaves_at,seats_offered,created_at,deleted_at
1,2008,"[40.43,-3.71]","[40.36,-3.92]",2025-10-01 09:15:00,3,2025-09-28 09:15:00,2025-10-01
2,2029,"[40.43,-3.71]","[40.36,-3.92]",2025-10-02 19:15:00,3,2025-09-27 19:15:00,
3,2003,"[40.43,-3.71]","[38.97,-5.8]",2025-10-03 07:15:00,2,2025-09-25 07:15:00,
4,2004,"[41.45,2.19]","[38.97,-5.8]",2025-10-04 09:00:00,3,2025-09-29 09:00:00,
5,2001,"[41.45,2.19]","[40.36,-3.92]",2025-10-05 17:00:00,4,2025-09-29 17:00:00,2025-10-03
6,2029,"[38.97,-5.8]","[41.45,2.19]",2025-10-06 19:15:00,2,2025-09-29 19:15:00,2025-10-02
7,2007,"[40.43,-3.71]","[38.97,-5.8]",2025-10-07 19:15:00,3,2025-09-28 19:15:00,2025-10-01
8,2008,"[41.45,2.19]","[38.97,-5.8]",2025-10-08 19:45:00,2,2025-10-01 19:45:00,
9,2009,"[40.43,-3.71]","[41.45,2.19]",2025-10-09 19:45:00,2,2025-09-29 19:45:00,
10,2010,"[41.45,2.19]","[38.97,-5.8]",2025-10-10 09:15:00,4,2025-10-03 09:15:00,
11,2011,"[40.36,-3.92]","[40.43,-3.71]",2025-10-01 09:45:00,1,2025-09-27 09:45:00,2025-09-28
12,2029,"[40.43,-3.71]","[40.36,-3.92]",2025-10-02 18:45:00,1,2025-09-30 18:45:00,2025-10-01
13,2013,"[38.97,-5.8]","[40.36,-3.92]",2025-10-03 18:00:00,1,2025-09-26 18:00:00,
14,2029,"[40.43,-3.71]","[41.45,2.19]",2025-10-04 18:00:00,4,2025-09-28 18:00:00,
15,2015,"[38.97,-5.8]","[40.36,-3.92]",2025-10-05 19:15:00,2,2025-10-01 19:15:00,
16,2016,"[41.45,2.19]","[40.36,-3.92]",2025-10-06 18:15:00,3,2025-09-28 18:15:00,2025-10-04
17,2008,"[40.36,-3.92]","[40.43,-3.71]",2025-10-07 07:45:00,2,2025-09-30 07:45:00,2025-10-05
18,2001,"[40.43,-3.71]","[38.97,-5.8]",2025-10-08 07:45:00,2,2025-09-29 07:45:00,2025-10-07
19,2029,"[40.36,-3.92]","[38.97,-5.8]",2025-10-09 09:30:00,2,2025-09-29 09:30:00,
20,2020,"[41.45,2.19]","[40.43,-3.71]",2025-10-10 18:00:00,2,2025-10-04 18:00:00,
21,2021,"[41.45,2.19]","[40.36,-3.92]",2025-10-01 19:00:00,1,2025-09-29 19:00:00,
22,2022,"[40.43,-3.71]","[38.97,-5.8]",2025-10-02 07:45:00,3,2025-09-25 07:45:00,
23,2023,"[40.43,-3.71]","[40.36,-3.92]",2025-10-03 18:15:00,1,2025-09-24 18:15:00,
24,2024,"[40.36,-3.92]","[41.45,2.19]",2025-10-04 08:15:00,2,2025-10-01 08:15:00,
25,2001,"[41.45,2.19]","[38.97,-5.8]",2025-10-05 18:45:00,3,2025-09-25 18:45:00,
26,2029,"[40.36,-3.92]","[41.45,2.19]",2025-10-06 09:15:00,2,2025-09-29 09:15:00,
27,2008,"[40.36,-3.92]","[38.97,-5.8]",2025-10-07 07:15:00,2,2025-09-27 07:15:00,
28,2028,"[40.36,-3.92]","[40.43,-3.71]",2025-10-08 19:15:00,1,2025-09-29 19:15:00,
29,2029,"[40.43,-3.71]","[40.36,-3.92]",2025-10-09 07:15:00,4,2025-09-29 07:15:00,
30,2001,"[40.36,-3.92]","[41.45,2.19]",2025-10-10 07:45:00,3,2025-10-03 07:45:00,
31,2031,"[40.43,-3.71]","[40.36,-3.92]",2025-10-01 19:15:00,3,2025-09-22 19:15:00,
32,2008,"[38.97,-5.8]","[41.45,2.19]",2025-10-02 18:45:00,2,2025-09-26 18:45:00,
33,2029,"[40.36,-3.92]","[41.45,2.19]",2025-10-03 18:45:00,2,2025-09-25 18:45:00,
34,2034,"[40.36,-3.92]","[40.43,-3.71]",2025-10-04 08:30:00,4,2025-09-25 08:30:00,
