id,user_id,origin_coordinates,destination_coordinates,leaves_at,seats_requested,created_at,deleted_at
1,1013,"[40.43,-3.71]","[38.97,-5.8]",2025-10-01 17:45:00,3,2025-09-25 17:45:00,2025-09-28
2,1038,"[40.36,-3.92]","[41.45,2.19]",2025-10-02 09:15:00,2,2025-09-28 09:15:00,
3,1003,"[40.36,-3.92]","[41.45,2.19]",2025-10-03 17:00:00,2,2025-09-30 17:00:00,
4,1049,"[38.97,-5.8]","[40.36,-3.92]",2025-10-04 08:30:00,1,2025-09-27 08:30:00,
5,1038,"[41.45,2.19]","[38.97,-5.8]",2025-10-05 18:15:00,2,2025-09-30 18:15:00,2025-10-01
6,1038,"[41.45,2.19]","[38.97,-5.8]",2025-10-05 18:15:00,2,2025-09-30 18:15:00,2025-10-01
7,1006,"[40.43,-3.71]","[40.36,-3.92]",2025-10-06 08:30:00,1,2025-10-03 08:30:00,
8,1013,"[41.45,2.19]","[40.43,-3.71]",2025-10-07 17:00:00,2,2025-09-30 17:00:00,
9,1005,"[38.97,-5.8]","[40.36,-3.92]",2025-10-08 19:15:00,3,2025-10-04 19:15:00,
10,1027,"[40.36,-3.92]","[40.43,-3.71]",2025-10-09 18:15:00,2,2025-10-04 18:15:00,2025-10-05
11,1010,"[41.45,2.19]","[40.43,-3.71]",2025-10-10 07:15:00,3,2025-10-07 07:15:00,2025-10-08
12,1049,"[41.45,2.19]","[40.36,-3.92]",2025-10-01 18:45:00,3,2025-09-29 18:45:00,
13,1012,"[38.97,-5.8]","[40.43,-3.71]",2025-10-02 09:45:00,1,2025-09-29 09:45:00,
14,1013,"[40.43,-3.71]","[38.97,-5.8]",2025-10-03 09:00:00,3,2025-09-28 09:00:00,
15,1014,"[40.36,-3.92]","[40.43,-3.71]",2025-10-04 09:45:00,3,2025-09-27 09:45:00,
16,1027,"[41.45,2.19]","[40.36,-3.92]",2025-10-05 08:45:00,2,2025-09-28 08:45:00,
17,1005,"[41.45,2.19]","[40.43,-3.71]",2025-10-06 19:00:00,2,2025-09-30 19:00:00,
18,1017,"[40.36,-3.92]","[40.43,-3.71]",2025-10-07 18:30:00,2,2025-09-30 18:30:00,2025-10-01
19,1049,"[38.97,-5.8]","[40.43,-3.71]",2025-10-08 09:15:00,3,2025-10-01 09:15:00,
20,1019,"[41.45,2.19]","[40.43,-3.71]",2025-10-09 08:30:00,2,2025-10-08 08:30:00,2025-09-08
21,1020,"[41.45,2.19]","[40.36,-3.92]",2025-10-10 18:00:00,2,2025-10-06 18:00:00,
22,1013,"[40.43,-3.71]","[41.45,2.19]",2025-10-01 17:00:00,1,2025-09-28 17:00:00,
23,1022,"[40.43,-3.71]","[40.36,-3.92]",2025-10-02 17:15:00,1,2025-09-27 17:15:00,
24,1005,"[40.43,-3.71]","[40.36,-3.92]",2025-10-03 19:15:00,1,2025-09-26 19:15:00,
25,1024,"[38.97,-5.8]","[40.43,-3.71]",2025-10-04 17:15:00,3,2025-09-29 17:15:00,
26,1025,"[40.43,-3.71]","[40.36,-3.92]",2025-10-05 17:45:00,2,2025-09-30 17:45:00,
27,1026,"[38.97,-5.8]","[41.45,2.19]",2025-10-06 18:30:00,2,2025-10-01 18:30:00,
28,1027,"[38.97,-5.8]","[40.36,-3.92]",2025-10-07 07:15:00,3,2025-10-04 07:15:00,2025-10-06
29,1005,"[40.43,-3.71]","[41.45,2.19]",2025-10-08 18:45:00,1,2025-10-04 18:45:00,2025-10-05
30,1038,"[38.97,-5.8]","[40.36,-3.92]",2025-10-09 18:45:00,1,2025-10-04 18:45:00,
31,1030,"[38.97,-5.8]","[40.43,-3.71]",2025-10-10 09:45:00,3,2025-10-05 09:45:00,
32,1031,"[38.97,-5.8]","[41.45,2.19]",2025-10-01 18:45:00,1,2025-09-27 18:45:00,
33,1013,"[41.45,2.19]","[40.43,-3.71]",2025-10-02 17:45:00,1,2025-09-29 17:45:00,
34,1033,"[41.45,2.19]","[40.43,-3.71]",2025-10-03 19:00:00,1,2025-09-26 19:00:00,
35,1034,"[40.43,-3.71]","[38.97,-5.8]",2025-10-04 07:15:00,2,2025-10-02 07:15:00,
36,1035,"[41.45,2.19]","[40.43,-3.71]",2025-10-05 08:45:00,1,2025-09-30 08:45:00,
37,1036,"[40.36,-3.92]","[38.97,-5.8]",2025-10-06 18:45:00,3,2025-09-28 18:45:00,
38,1049,"[38.97,-5.8]","[41.45,2.19]",2025-10-07 07:15:00,3,2025-10-04 07:15:00,
39,1038,"[40.43,-3.71]","[38.97,-5.8]",2025-10-08 07:30:00,1,2025-10-03 07:30:00,
40,1039,"[40.36,-3.92]","[40.43,-3.71]",2025-10-09 19:15:00,2,2025-10-03 19:15:00,
41,1040,"[40.36,-3.92]","[40.43,-3.71]",2025-10-10 18:15:00,1,2025-10-04 18:15:00,
42,1038,"[41.45,2.19]","[40.36,-3.92]",2025-10-01 19:15:00,1,2025-09-24 19:15:00,
43,1042,"[40.36,-3.92]","[38.97,-5.8]",2025-10-02 09:30:00,1,2025-09-25 09:30:00,
44,1027,"[38.97,-5.8]","[40.43,-3.71]",2025-10-03 18:30:00,2,2025-09-26 18:30:00,
45,1013,"[40.43,-3.71]","[38.97,-5.8]",2025-10-04 08:00:00,1,2025-10-02 08:00:00,
46,1005,"[40.43,-3.71]","[38.97,-5.8]",2025-10-05 18:15:00,1,2025-09-29 18:15:00,
47,1046,"[38.97,-5.8]","[41.45,2.19]",2025-10-06 18:45:00,2,2025-10-04 18:45:00,
48,1027,"[40.36,-3.92]","[40.43,-3.71]",2025-10-07 07:15:00,1,2025-10-03 07:15:00,
49,1005,"[38.97,-5.8]","[41.45,2.19]",2025-10-08 18:00:00,3,2025-10-02 18:00:00,
50,1013,"[38.97,-5.8]","[40.43,-3.71]",2025-10-09 07:45:00,2,2025-10-03 07:45:00,2025-10-05
51,1038,"[38.97,-5.8]","[40.36,-3.92]",2025-10-10 18:45:00,3,2025-10-05 18:45:00,2025-10-07
52,1038,"[38.97,-5.8]","[40.36,-3.92]",2025-10-09 18:45:00,1,2025-10-04 18:45:00,
